Nama Provinsi,Location ISO Code,Area (km2),Population,Total Cases (Term 1),Total Deaths (Term 1),Total Recovered (Term 1),Total Cases (Term 2),Total Deaths (Term 2),Total Recovered (Term 2),Total Cases (Term 3),Total Deaths (Term 3),Total Recovered (Term 3),Total Cases (Keseluruhan),Total Deaths (Keseluruhan),Total Recovered (Keseluruhan),Total Cases Term 1 (Logaritmik),Total Cases Term 2 (Logaritmik),Total Cases Term 3 (Logaritmik),Total Cases Keseluruhan (Logaritmik),id
DKI JAKARTA,ID-JK,664,10846145,7088,492,2007,14311,340,11196,46503,829,41065,67902,1661,54268,3.8505237088789945,4.155669981719812,4.667480970984987,4.831882566271251,31
JAWA BARAT,ID-JB,35378,45161325,2345,154,692,4132,56,3271,13654,158,8059,20131,368,12022,3.370142847051102,3.6161603128475828,4.135259898515659,4.303865348842704,32
PROBANTEN,ID-BT,9663,10722374,861,69,243,974,21,1111,3215,72,1864,5050,162,3218,2.935003151453655,2.9885589568786157,3.5071809772602407,3.7032913781186614,36
SULAWESI TENGGARA,ID-SG,38068,2635461,244,4,121,538,9,349,1719,40,1309,2501,53,1779,2.387389826338729,2.7307822756663893,3.2352758766870524,3.3981136917305026,74
KALIMANTAN TIMUR,ID-KI,129067,3552191,295,3,172,1131,27,729,6425,264,4179,7851,294,5080,2.469822015978163,3.053462604925455,3.807873132003332,3.8949249773595436,64
DAERAH ISTIMEWA YOGYAKARTA,ID-YO,3133,3631015,236,8,169,438,12,229,1784,44,1279,2458,64,1677,2.3729120029701067,2.6414741105040997,3.2513948500401044,3.390581878550435,34
SUMATERA UTARA,ID-SU,72981,14874889,409,42,146,3522,150,1207,5912,223,4754,9843,415,6107,2.611723308007342,3.5467893516312583,3.7717344253867693,3.99312748510571,12
JAWA TENGAH,ID-JT,32801,36364072,1403,68,360,8115,556,4944,11486,748,9739,21004,1372,15043,3.1470576710283598,3.9092885241622506,4.060168811945148,4.3223020096150195,3329
JAWA TIMUR,ID-JI,47803,40479023,4802,394,609,17282,1304,13806,20307,1386,20790,42391,3084,35205,3.6814221557210085,4.237594000799247,4.307645768816921,4.627273661658086,35
SULAWESI SELATAN,ID-SN,46717,9426885,1536,72,595,7853,239,5873,5593,95,4493,14982,406,10961,3.186391215695493,3.8950355974523228,3.747644819328248,4.175569792734992,73
MALUKU,ID-MA,46914,1847097,223,8,36,870,15,663,1561,17,988,2654,40,1687,2.3483048630481607,2.9395192526186187,3.1934029030624176,3.4239009185284166,82
IRIAN JAYA TIMUR,ID-PA,319036,4340348,671,6,68,2388,26,1307,2704,48,2313,5763,80,3688,2.826722520168992,3.3780343224573315,3.4320066872695985,3.760648619581356,85
MALUKU UTARA,ID-MU,31983,1307803,153,10,27,1387,40,301,505,24,1471,2045,74,1799,2.184691430817599,3.1420764610732848,2.7032913781186614,3.3106933123433606,81
DI. ACEH,ID-AC,57956,5247257,20,1,17,390,11,74,3572,135,1798,3982,147,1889,1.3010299956639813,2.591064607026499,3.552911450216509,3.6001012556913907,11
KALIMANTAN TENGAH,ID-KT,153565,2570289,406,19,164,1323,72,1023,1745,39,1449,3474,130,2636,2.6085260335771943,3.1215598441875008,3.241795431295199,3.54082981411108,1
LAMPUNG,ID-LA,34624,9095591,134,11,69,121,1,126,559,18,324,814,30,519,2.1271047983648077,2.0827853703164503,2.747411807886423,2.910624404889201,18
SULAWESI TENGAH,ID-ST,61841,2955567,128,4,61,79,3,127,147,8,55,354,15,243,2.1072099696478683,1.8976270912904414,2.167317334748176,2.5490032620257876,72
SUMATERA BARAT,ID-SB,42013,5519245,567,26,265,381,8,495,4415,70,1964,5363,104,2724,2.7535830588929064,2.5809249756756194,3.6449307079135873,3.729407796963068,13
IRIAN JAYA BARAT,ID-PB,102955,1140701,168,2,55,265,4,237,1387,23,747,1820,29,1039,2.225309281725863,2.423245873936808,3.1420764610732848,3.2600713879850747,83
SUMATERA SELATAN,ID-SS,91592,8217551,981,36,213,2436,127,1581,2317,173,2338,5734,336,4132,2.9916690073799486,3.3866772839608377,3.364926033789976,3.7584576886104655,16
BALI,ID-BA,5780,4216171,465,4,329,2942,44,2547,4982,197,3952,8389,245,6828,2.667452952889954,3.4686426683915115,3.6974037232004875,3.9237101943965627,51
KALIMANTAN BARAT,ID-KB,147307,5422814,189,4,52,198,0,303,548,4,414,935,8,769,2.2764618041732443,2.296665190261531,2.738780558484369,2.9708116108725178,0
RIAU,ID-RI,87024,6074100,117,6,88,328,6,221,5870,119,2632,6315,131,2941,2.0681858617461617,2.515873843711679,3.7686381012476144,3.8003733548913496,14
JAMBI,ID-JA,50058,3493357,97,0,15,65,4,100,247,4,148,409,8,263,1.9867717342662448,1.8129133566428555,2.392696953259666,2.611723308007342,15
KALIMANTAN SELATAN,ID-KS,38744,4023049,917,86,100,5181,209,3267,3982,115,5136,10080,410,8503,2.962369335670021,3.714413592287121,3.6001012556913907,4.003460532109506,63
BANGKA BELITUNG,ID-BB,16424,1379767,46,1,28,147,1,145,143,2,104,336,4,277,1.662757831681574,2.167317334748176,2.155336037465062,2.526339277389844,19
BENGKULU,ID-BE,19919,1999539,91,3,22,126,15,96,373,14,261,590,32,379,1.9590413923210936,2.100370545117563,2.571708831808688,2.7708520116421442,17
NUSATENGGARA BARAT,ID-NB,18572,5270247,636,10,291,1429,100,997,1153,82,1248,3218,192,2536,2.803457115648414,3.1550322287909704,3.061829307294699,3.5075860397630105,52
SULAWESI UTARA,ID-SA,13892,2641884,339,37,51,2241,95,1175,1810,40,2237,4390,172,3463,2.530199698203082,3.350441856535061,3.2576785748691846,3.6424645202421213,71
NUSA TENGGARA TIMUR,ID-NT,48718,5411321,92,1,14,53,0,96,243,5,130,388,6,240,1.9637878273455553,1.724275869600789,2.385606273598312,2.5888317255942073,53
GORONTALO,ID-GO,11257,1180651,94,6,26,921,27,519,1519,42,1654,2534,75,2199,1.9731278535996986,2.964259630196849,3.1815577738627865,3.4038066105474227,75
IRIAN JAYA TENGAH,ID-PA,319036,4340348,672,7,69,2389,27,1308,2705,49,2314,5763,80,3688,2.8273692730538253,3.378216149749878,3.4321672694425884,3.760648619581356,84
